Symbol,Description,Quantity
CVLT,COMMVAULT SYS INC COM,178
MODG,CALLAWAY GOLF CO,705
ENSG,ENSIGN GROUP INC,800
IWM,ISHARES RUSSELL 2000 ETF,71
KBWR,INVESCO EXCH TRADED FD TR II KBW REGL BKG,1786
MITK,MITEK SYSTEMS INC,1530
PATK,PATRICK INDS INC COM,308
PNTG,PENNANT GROUP INC COM,400
PSCC,INVESCO EXCH TRADED FD TR II S&P SMLCP STAP,1109
PSCH,INVESCO EXCH TRADED FD TR II S&P SMLCP HELT,481
PSCI,INVESCO EXCH TRADED FD TR II S&P SMLCP INDL,1063
PSCM,INVESCO EXCH TRADED FD TR II S&P SMLCP MATL,480
PSCT,INVESCO EXCH TRADED FD TR II S&P SMLCP INFO,635
PSCU,INVESCO EXCH TRADED FD TR II S&P SMLCP UTIL,552
PSR,INVESCO ACTIVELY MANAGED ETF ACTIVE US REAL,509
SMTC,SEMTECH CORP,366
WINA,WINMARK CORP,38
OTEX,OPEN TEXT CORP,133
